site_id,network,longitude,latitude,in_kfold_shallow,in_kfold_middle,oos_shallow,oos_middle,fully_oos
SEEN8,UMRB Mesonet,-99.99273,46.89402,TRUE,TRUE,FALSE,FALSE,FALSE
STRN8,UMRB Mesonet,-99.46081,46.71797,TRUE,TRUE,FALSE,FALSE,FALSE
TURN8,UMRB Mesonet,-100.91529,47.56793,TRUE,TRUE,FALSE,FALSE,FALSE
WISN8,UMRB Mesonet,-99.66585,46.26033,TRUE,TRUE,FALSE,FALSE,FALSE
WLLN8,UMRB Mesonet,-103.73859,48.13308,TRUE,TRUE,FALSE,FALSE,FALSE
ZELN8,UMRB Mesonet,-99.68768,46.01351,TRUE,TRUE,FALSE,FALSE,FALSE
ATRS2,UMRB Mesonet,-103.2888,45.5193,TRUE,TRUE,FALSE,FALSE,FALSE
BFMS2,UMRB Mesonet,-96.9011,43.0404,TRUE,TRUE,FALSE,FALSE,FALSE
BKMS2,UMRB Mesonet,-96.7685,44.325,TRUE,TRUE,FALSE,FALSE,FALSE
BWLS2,UMRB Mesonet,-99.6729,45.4388,TRUE,TRUE,FALSE,FALSE,FALSE
CLMS2,UMRB Mesonet,-97.8464,44.9374,FALSE,FALSE,TRUE,TRUE,TRUE
CPTS2,UMRB Mesonet,-103.0008,44.0008,TRUE,TRUE,FALSE,FALSE,FALSE
CTWS2,UMRB Mesonet,-101.8541,43.9601,TRUE,TRUE,FALSE,FALSE,FALSE
EDTS2,UMRB Mesonet,-103.972,43.4739,TRUE,TRUE,FALSE,FALSE,FALSE
FLMS2,UMRB Mesonet,-103.055,43.1002,FALSE,FALSE,TRUE,TRUE,TRUE
FLNS2,UMRB Mesonet,-96.5847,44.087,TRUE,TRUE,FALSE,FALSE,FALSE
GGMS2,UMRB Mesonet,-99.4934,43.1373,TRUE,TRUE,FALSE,FALSE,FALSE
GOTS2,UMRB Mesonet,-98.0302,45.5735,TRUE,TRUE,FALSE,FALSE,FALSE
HAMS2,UMRB Mesonet,-101.1291,44.3125,TRUE,TRUE,FALSE,FALSE,FALSE
HIHS2,UMRB Mesonet,-99.4614,44.5258,TRUE,TRUE,FALSE,FALSE,FALSE
HMLS2,UMRB Mesonet,-99.7121,43.5938,TRUE,TRUE,FALSE,FALSE,FALSE
KBMS2,UMRB Mesonet,-99.8254,43.8161,FALSE,FALSE,TRUE,TRUE,TRUE
LBMS2,UMRB Mesonet,-99.6111,44.0822,FALSE,FALSE,TRUE,TRUE,TRUE
LCMS2,UMRB Mesonet,-98.1096,43.9028,TRUE,TRUE,FALSE,FALSE,FALSE
LLAS2,UMRB Mesonet,-98.9314,45.7167,TRUE,TRUE,FALSE,FALSE,FALSE
LNMS2,UMRB Mesonet,-103.7168,45.8268,FALSE,FALSE,TRUE,TRUE,TRUE
LRMS2,UMRB Mesonet,-99.9773,45.2815,FALSE,FALSE,TRUE,TRUE,TRUE
MCMS2,UMRB Mesonet,-100.1151,45.6712,FALSE,FALSE,TRUE,TRUE,TRUE
MNMS2,UMRB Mesonet,-97.4524,43.2109,FALSE,TRUE,TRUE,FALSE,FALSE
MVMS2,UMRB Mesonet,-101.8991,44.4748,TRUE,TRUE,FALSE,FALSE,FALSE
NISS2,UMRB Mesonet,-103.5603,44.6782,TRUE,TRUE,FALSE,FALSE,FALSE
NOMS2,UMRB Mesonet,-101.1014,43.5999,TRUE,TRUE,FALSE,FALSE,FALSE
OCMS2,UMRB Mesonet,-99.4157,43.7982,TRUE,TRUE,FALSE,FALSE,FALSE
OEMS2,UMRB Mesonet,-103.3477,43.041,FALSE,FALSE,TRUE,TRUE,TRUE
ONMS2,UMRB Mesonet,-100.32,44.6465,TRUE,TRUE,FALSE,FALSE,FALSE
PCMS2,UMRB Mesonet,-102.9195,45.3388,FALSE,FALSE,TRUE,TRUE,TRUE
PVMS2,UMRB Mesonet,-103.7986,43.0375,TRUE,TRUE,FALSE,FALSE,FALSE
RAMS2,UMRB Mesonet,-102.9226,45.9059,TRUE,TRUE,FALSE,FALSE,FALSE
RBMS2,UMRB Mesonet,-100.7205,43.2,TRUE,TRUE,FALSE,FALSE,FALSE
SFSS2,UMRB Mesonet,-96.7623,43.5048,TRUE,TRUE,FALSE,FALSE,FALSE
SHSS2,UMRB Mesonet,-97.1025,45.1054,TRUE,TRUE,FALSE,FALSE,FALSE
STMS2,UMRB Mesonet,-103.3792,44.4245,TRUE,TRUE,FALSE,FALSE,FALSE
THMS2,UMRB Mesonet,-101.2295,43.2061,FALSE,FALSE,TRUE,TRUE,TRUE
TIMS2,UMRB Mesonet,-101.085,45.4166,TRUE,TRUE,FALSE,FALSE,FALSE
UNIS2,UMRB Mesonet,-102.6709,44.5664,TRUE,TRUE,FALSE,FALSE,FALSE
VGAS2,UMRB Mesonet,-96.9188,44.304,TRUE,FALSE,FALSE,TRUE,FALSE
VNMS2,UMRB Mesonet,-98.2793,43.7173,FALSE,FALSE,TRUE,TRUE,TRUE
VVMS2,UMRB Mesonet,-100.2963,43.7508,FALSE,FALSE,TRUE,TRUE,TRUE
WNMS2,UMRB Mesonet,-99.6931,43.3142,TRUE,TRUE,FALSE,FALSE,FALSE
WRIS2,UMRB Mesonet,-100.7423,43.5586,TRUE,TRUE,FALSE,FALSE,FALSE
WSMS2,UMRB Mesonet,-98.3103,44.1114,FALSE,FALSE,TRUE,TRUE,TRUE
WTES2,UMRB Mesonet,-98.6936,43.7373,TRUE,TRUE,FALSE,FALSE,FALSE
BDVM8,UMRB Mesonet,-108.75544,46.12817,TRUE,TRUE,FALSE,FALSE,FALSE
BLWM8,UMRB Mesonet,-111.47361,47.69075,TRUE,TRUE,FALSE,FALSE,FALSE
BRYM8,UMRB Mesonet,-111.66432,48.10323,FALSE,FALSE,TRUE,TRUE,TRUE
BTSM8,UMRB Mesonet,-109.82669,45.74353,FALSE,TRUE,TRUE,FALSE,FALSE
BYUM8,UMRB Mesonet,-112.49437,47.95719,FALSE,FALSE,TRUE,TRUE,TRUE
BZNM8,UMRB Mesonet,-111.07218,45.66341,TRUE,TRUE,FALSE,FALSE,FALSE
CFCM8,UMRB Mesonet,-110.10835,47.39345,TRUE,TRUE,FALSE,FALSE,FALSE
CHSM8,UMRB Mesonet,-111.03759,48.44775,FALSE,FALSE,TRUE,TRUE,TRUE
COOM8,UMRB Mesonet,-109.2597,45.46583,TRUE,TRUE,FALSE,FALSE,FALSE
CROM8,UMRB Mesonet,-107.43834,45.58605,TRUE,TRUE,FALSE,FALSE,FALSE
DYRM8,UMRB Mesonet,-112.54923,48.29556,FALSE,FALSE,TRUE,TRUE,TRUE
HAEM8,UMRB Mesonet,-109.79939,48.48906,TRUE,TRUE,FALSE,FALSE,FALSE
HNTM8,UMRB Mesonet,-108.23296,45.92637,TRUE,TRUE,FALSE,FALSE,FALSE
HWTM8,UMRB Mesonet,-109.70085,46.41295,FALSE,FALSE,TRUE,TRUE,TRUE
IGMM8,UMRB Mesonet,-107.22383,46.65685,TRUE,TRUE,FALSE,FALSE,FALSE
KEEM8,UMRB Mesonet,-109.6112,45.55735,TRUE,TRUE,FALSE,FALSE,FALSE
LVAM8,UMRB Mesonet,-108.95365,46.39892,FALSE,FALSE,TRUE,TRUE,TRUE
MCIM8,UMRB Mesonet,-109.95352,47.05849,TRUE,TRUE,FALSE,FALSE,FALSE
MCYM8,UMRB Mesonet,-105.95432,46.40541,TRUE,TRUE,FALSE,FALSE,FALSE
MLVM8,UMRB Mesonet,-109.84163,46.00145,TRUE,TRUE,FALSE,FALSE,FALSE
MOBM8,UMRB Mesonet,-108.09801,47.06115,FALSE,FALSE,TRUE,TRUE,TRUE
MOTM8,UMRB Mesonet,-108.95924,45.84138,FALSE,FALSE,TRUE,TRUE,TRUE
OILM8,UMRB Mesonet,-111.60108,48.78158,TRUE,TRUE,FALSE,FALSE,FALSE
RADM8,UMRB Mesonet,-112.00768,48.06099,FALSE,TRUE,TRUE,FALSE,FALSE
RAPM8,UMRB Mesonet,-109.42109,45.88584,FALSE,FALSE,TRUE,TRUE,TRUE
RGTM8,UMRB Mesonet,-109.31114,46.19946,FALSE,FALSE,TRUE,TRUE,TRUE
RMYM8,UMRB Mesonet,-109.3477,46.5351,FALSE,FALSE,TRUE,TRUE,TRUE
ROUM8,UMRB Mesonet,-108.42432,46.57848,TRUE,TRUE,FALSE,FALSE,FALSE
RYOM8,UMRB Mesonet,-108.67782,47.37909,FALSE,FALSE,TRUE,TRUE,TRUE
SDSM8,UMRB Mesonet,-107.63839,47.1653,FALSE,FALSE,TRUE,TRUE,TRUE
SIYM8,UMRB Mesonet,-104.24789,47.78229,TRUE,TRUE,FALSE,FALSE,FALSE
SURM8,UMRB Mesonet,-111.71725,47.41178,FALSE,FALSE,TRUE,TRUE,TRUE
TTNM8,UMRB Mesonet,-111.5432,46.13646,TRUE,TRUE,FALSE,FALSE,FALSE
TWOM8,UMRB Mesonet,-110.20549,46.44675,FALSE,FALSE,TRUE,TRUE,TRUE
WIEM8,UMRB Mesonet,-108.50241,46.96536,FALSE,FALSE,TRUE,TRUE,TRUE
BBMW4,UMRB Mesonet,-109.3083,44.4817,TRUE,TRUE,FALSE,FALSE,FALSE
BYMW4,UMRB Mesonet,-108.1332,43.3238,TRUE,TRUE,FALSE,FALSE,FALSE
CYMW4,UMRB Mesonet,-108.43242,44.92915,TRUE,TRUE,FALSE,FALSE,FALSE
DDMW4,UMRB Mesonet,-108.95152,43.23143,TRUE,TRUE,FALSE,FALSE,FALSE
PLMW4,UMRB Mesonet,-108.759,44.7764,TRUE,TRUE,FALSE,FALSE,FALSE
SHMW4,UMRB Mesonet,-106.839,44.8408,TRUE,TRUE,FALSE,FALSE,FALSE
WRMW4,UMRB Mesonet,-107.90498,44.00257,TRUE,TRUE,FALSE,FALSE,FALSE
ASAM8,UMRB Mesonet,-106.14318,45.57326,FALSE,FALSE,TRUE,TRUE,TRUE
BUSM8,UMRB Mesonet,-106.93155,45.51856,FALSE,FALSE,TRUE,TRUE,TRUE
FRGM8,UMRB Mesonet,-109.08885,47.10576,FALSE,FALSE,TRUE,TRUE,TRUE
LGGM8,UMRB Mesonet,-107.51536,45.3073,FALSE,FALSE,TRUE,TRUE,TRUE
LMDM8,UMRB Mesonet,-106.48794,45.65598,FALSE,FALSE,TRUE,TRUE,TRUE
LORM8,UMRB Mesonet,-107.87788,48.77156,FALSE,FALSE,TRUE,TRUE,TRUE
MOYM8,UMRB Mesonet,-107.92134,46.7823,FALSE,FALSE,TRUE,TRUE,TRUE
MSSM8,UMRB Mesonet,-108.02182,46.53997,FALSE,FALSE,TRUE,TRUE,TRUE
MTRM8,UMRB Mesonet,-108.33595,47.92644,FALSE,FALSE,TRUE,TRUE,TRUE
OTRM8,UMRB Mesonet,-105.9845,45.24692,FALSE,FALSE,TRUE,TRUE,TRUE
SASM8,UMRB Mesonet,-107.39124,48.29082,FALSE,FALSE,TRUE,TRUE,TRUE
SCYM8,UMRB Mesonet,-105.49718,48.8602,FALSE,FALSE,TRUE,TRUE,TRUE
TRNM8,UMRB Mesonet,-108.39366,48.87426,FALSE,FALSE,TRUE,TRUE,TRUE
VLTM8,UMRB Mesonet,-108.24377,47.35797,FALSE,FALSE,TRUE,TRUE,TRUE
WRHM8,UMRB Mesonet,-108.59132,47.14725,FALSE,FALSE,TRUE,TRUE,TRUE
RDMS2,UMRB Mesonet,-103.5495,45.3195,FALSE,FALSE,TRUE,TRUE,TRUE
SPMS2,UMRB Mesonet,-103.9164,44.5656,FALSE,FALSE,TRUE,TRUE,TRUE
DVDN8,UMRB Mesonet,-103.6971,46.5641,FALSE,FALSE,TRUE,TRUE,TRUE
HBNN8,UMRB Mesonet,-102.0759,46.8045,FALSE,FALSE,TRUE,TRUE,TRUE
MRNN8,UMRB Mesonet,-103.9373,46.3228,FALSE,FALSE,TRUE,TRUE,TRUE
NEDN8,UMRB Mesonet,-102.96803,46.52645,FALSE,FALSE,TRUE,TRUE,TRUE
PCDN8,UMRB Mesonet,-101.6123,47.4747,FALSE,FALSE,TRUE,TRUE,TRUE
SNRN8,UMRB Mesonet,-100.9891,47.1668,FALSE,FALSE,TRUE,TRUE,TRUE
WNGN8,UMRB Mesonet,-100.3303,47.2719,FALSE,FALSE,TRUE,TRUE,TRUE
MLMS2,UMRB Mesonet,-101.0909,44.0851,FALSE,FALSE,TRUE,TRUE,TRUE
FLDN8,UMRB Mesonet,-103.24321,47.12531,FALSE,FALSE,TRUE,TRUE,TRUE
LINN8,UMRB Mesonet,-100.28146,46.32716,FALSE,FALSE,TRUE,TRUE,TRUE
PKJN8,UMRB Mesonet,-103.6559,47.5025,FALSE,FALSE,TRUE,TRUE,TRUE
SHLN8,UMRB Mesonet,-102.07275,48.15001,FALSE,FALSE,TRUE,TRUE,TRUE
SLBN8,UMRB Mesonet,-103.79333,47.06694,FALSE,FALSE,TRUE,TRUE,TRUE
MCKN8,UMRB Mesonet,-100.38346,46.82221,FALSE,FALSE,TRUE,TRUE,TRUE
PTON8,UMRB Mesonet,-101.77054,46.15995,FALSE,FALSE,TRUE,TRUE,TRUE
YPLN8,UMRB Mesonet,-98.52323,46.77638,FALSE,FALSE,TRUE,TRUE,TRUE
BNWM8,UMRB Mesonet,-112.17275,47.30804,FALSE,FALSE,TRUE,TRUE,TRUE
NARN1,UMRB Mesonet,-99.138759,42.966264,FALSE,FALSE,TRUE,TRUE,TRUE
FRDN1,UMRB Mesonet,-97.398063,42.749287,FALSE,FALSE,TRUE,TRUE,TRUE
OHDN1,UMRB Mesonet,-98.261073,42.490732,FALSE,FALSE,TRUE,TRUE,TRUE
LYHN1,UMRB Mesonet,-98.5042,42.8407,FALSE,FALSE,TRUE,TRUE,TRUE
MEIN1,UMRB Mesonet,-101.72452,42.61576,FALSE,FALSE,TRUE,TRUE,TRUE
ESWN1,UMRB Mesonet,-102.16559,42.2794,FALSE,FALSE,TRUE,TRUE,TRUE
HUMW4,UMRB Mesonet,-104.6962,44.7389,FALSE,FALSE,TRUE,TRUE,TRUE
CRMW4,UMRB Mesonet,-104.8021,44.4485,FALSE,FALSE,TRUE,TRUE,TRUE
UPMW4,UMRB Mesonet,-104.63755,43.9643,FALSE,FALSE,TRUE,TRUE,TRUE
AVNW4,UMRB Mesonet,-104.5444,44.8605,FALSE,FALSE,TRUE,TRUE,TRUE
OSMW4,UMRB Mesonet,-104.3791,43.99378,FALSE,FALSE,TRUE,TRUE,TRUE
NCMW4,UMRB Mesonet,-104.2619,43.6662,FALSE,FALSE,TRUE,TRUE,TRUE
FCMW4,UMRB Mesonet,-104.2952,44.1959,FALSE,FALSE,TRUE,TRUE,TRUE
ALMW4,UMRB Mesonet,-104.2483,44.5871,FALSE,FALSE,TRUE,TRUE,TRUE
DTMW4,UMRB Mesonet,-105.014,44.713,FALSE,FALSE,TRUE,TRUE,TRUE
RKMW4,UMRB Mesonet,-104.8825,43.6795,FALSE,FALSE,TRUE,TRUE,TRUE
PMPN8,UMRB Mesonet,-103.35835,46.78142,FALSE,FALSE,TRUE,TRUE,TRUE
MNNN8,UMRB Mesonet,-102.8325,47.1925,FALSE,FALSE,TRUE,TRUE,TRUE
BDMW4,UMRB Mesonet,-105.0406,44.953,FALSE,FALSE,TRUE,TRUE,TRUE
PIMS2,UMRB Mesonet,-99.9997,44.3541,FALSE,FALSE,TRUE,TRUE,TRUE
WRHN8,UMRB Mesonet,-99.06591,46.14316,FALSE,FALSE,TRUE,TRUE,TRUE
PKMS2,UMRB Mesonet,-97.0793,43.4885,FALSE,FALSE,TRUE,TRUE,TRUE
LIVN8,UMRB Mesonet,-100.56771,46.43594,FALSE,FALSE,TRUE,TRUE,TRUE
GRMS2,UMRB Mesonet,-99.439,43.4642,FALSE,FALSE,TRUE,TRUE,TRUE
MDMS2,UMRB Mesonet,-97.0898,43.9146,FALSE,FALSE,TRUE,TRUE,TRUE
CDLN8,UMRB Mesonet,-103.02859,46.28376,FALSE,FALSE,TRUE,TRUE,TRUE
LEFN8,UMRB Mesonet,-102.38507,46.58835,FALSE,FALSE,TRUE,TRUE,TRUE
DTMS2,UMRB Mesonet,-97.5325,44.4951,FALSE,FALSE,TRUE,TRUE,TRUE
ELIN8,UMRB Mesonet,-101.9858,46.5013,FALSE,FALSE,TRUE,TRUE,TRUE
RHMS2,UMRB Mesonet,-98.7965,44.8224,FALSE,FALSE,TRUE,TRUE,TRUE
SNMS2,UMRB Mesonet,-102.442,43.7574,FALSE,FALSE,TRUE,TRUE,TRUE
HSMS2,UMRB Mesonet,-102.9225,43.7387,FALSE,FALSE,TRUE,TRUE,TRUE
MATS2,UMRB Mesonet,-101.6511,43.1992,FALSE,FALSE,TRUE,TRUE,TRUE
MXAN8,UMRB Mesonet,-101.31472,47.87,FALSE,FALSE,TRUE,TRUE,TRUE
LBTN8,UMRB Mesonet,-102.21621,47.91428,FALSE,FALSE,TRUE,TRUE,TRUE
MBMS2,UMRB Mesonet,-102.7539,44.9196,FALSE,FALSE,TRUE,TRUE,TRUE
UCMS2,UMRB Mesonet,-102.8964,44.7047,FALSE,FALSE,TRUE,TRUE,TRUE
NSLN8,UMRB Mesonet,-101.34194,46.76778,FALSE,FALSE,TRUE,TRUE,TRUE
WGMS2,UMRB Mesonet,-98.7614,44.4592,FALSE,FALSE,TRUE,TRUE,TRUE
HMMS2,UMRB Mesonet,-99.4144,44.8572,FALSE,FALSE,TRUE,TRUE,TRUE
KDMS2,UMRB Mesonet,-101.5915,43.874,FALSE,FALSE,TRUE,TRUE,TRUE
ZPPN8,UMRB Mesonet,-101.97136,47.43673,FALSE,FALSE,TRUE,TRUE,TRUE
PCKN8,UMRB Mesonet,-100.67296,47.41536,FALSE,FALSE,TRUE,TRUE,TRUE
HDFN8,UMRB Mesonet,-99.93723,47.45111,FALSE,FALSE,TRUE,TRUE,TRUE
BMRN8,UMRB Mesonet,-99.31836,47.74575,FALSE,FALSE,TRUE,TRUE,TRUE
HOFN8,UMRB Mesonet,-103.10819,48.16443,FALSE,FALSE,TRUE,TRUE,TRUE
BFDN8,UMRB Mesonet,-103.92594,47.97074,FALSE,FALSE,TRUE,TRUE,TRUE
STYN8,UMRB Mesonet,-102.4652,48.1961,FALSE,FALSE,TRUE,TRUE,TRUE
POLN8,UMRB Mesonet,-102.56083,48.48417,FALSE,FALSE,TRUE,TRUE,TRUE
CHMS2,UMRB Mesonet,-101.3658,44.7079,FALSE,FALSE,TRUE,TRUE,TRUE
LPMS2,UMRB Mesonet,-100.673,45.1456,FALSE,FALSE,TRUE,TRUE,TRUE
ISMS2,UMRB Mesonet,-101.4924,45.3863,FALSE,FALSE,TRUE,TRUE,TRUE
LTMS2,UMRB Mesonet,-101.4844,45.0871,FALSE,FALSE,TRUE,TRUE,TRUE
CCMS2,UMRB Mesonet,-104.0168,45.4235,FALSE,FALSE,TRUE,TRUE,TRUE
HLMS2,UMRB Mesonet,-97.17166,43.23507,FALSE,FALSE,TRUE,TRUE,TRUE
CGMW4,UMRB Mesonet,-104.25466,44.95865,FALSE,FALSE,TRUE,TRUE,TRUE
CMMW4,UMRB Mesonet,-106.44363,44.00906,FALSE,FALSE,TRUE,TRUE,TRUE
DCMW4,UMRB Mesonet,-105.13755,43.28535,FALSE,FALSE,TRUE,TRUE,TRUE
CLMW4,UMRB Mesonet,-106.1102,44.5263,FALSE,FALSE,TRUE,TRUE,TRUE
RRMW4,UMRB Mesonet,-105.88865,43.41376,FALSE,FALSE,TRUE,TRUE,TRUE
WHUN1,UMRB Mesonet,-103.31791,42.74225,FALSE,FALSE,TRUE,TRUE,TRUE
HSUN1,UMRB Mesonet,-102.90947,42.61461,FALSE,FALSE,TRUE,TRUE,TRUE
MAUN1,UMRB Mesonet,-103.33128,42.35566,FALSE,FALSE,TRUE,TRUE,TRUE
GONN1,UMRB Mesonet,-102.0689,42.64832,FALSE,FALSE,TRUE,TRUE,TRUE
HAUN1,UMRB Mesonet,-103.89799,42.66399,FALSE,FALSE,TRUE,TRUE,TRUE
RSVN1,UMRB Mesonet,-102.43749,42.71207,FALSE,FALSE,TRUE,TRUE,TRUE
ALUN1,UMRB Mesonet,-102.89401,42.05799,FALSE,FALSE,TRUE,TRUE,TRUE
HSPN1,UMRB Mesonet,-102.6489,42.36969,FALSE,FALSE,TRUE,TRUE,TRUE
HEUN1,UMRB Mesonet,-102.93946,42.40871,FALSE,FALSE,TRUE,TRUE,TRUE
EGBS2,UMRB Mesonet,-101.07714,45.02386,FALSE,FALSE,TRUE,TRUE,TRUE
BSEM8,UMRB Mesonet,-110.03595,48.03403,FALSE,FALSE,TRUE,TRUE,TRUE
BSWM8,UMRB Mesonet,-110.32165,48.24156,FALSE,FALSE,TRUE,TRUE,TRUE
BUFM8,UMRB Mesonet,-112.65625,48.85363,FALSE,FALSE,TRUE,TRUE,TRUE
CNNM8,UMRB Mesonet,-111.92398,48.30707,FALSE,FALSE,TRUE,TRUE,TRUE
CRNM8,UMRB Mesonet,-110.99302,48.02231,FALSE,FALSE,TRUE,TRUE,TRUE
CSTM8,UMRB Mesonet,-109.52066,47.4245,FALSE,FALSE,TRUE,TRUE,TRUE
DOGM8,UMRB Mesonet,-113.06213,48.37776,FALSE,FALSE,TRUE,TRUE,TRUE
DRYM8,UMRB Mesonet,-108.64159,48.0419,FALSE,FALSE,TRUE,TRUE,TRUE
FOXM8,UMRB Mesonet,-110.74849,48.89941,FALSE,FALSE,TRUE,TRUE,TRUE
HIWM8,UMRB Mesonet,-110.89959,47.68476,FALSE,FALSE,TRUE,TRUE,TRUE
HOGM8,UMRB Mesonet,-108.78024,48.81634,FALSE,FALSE,TRUE,TRUE,TRUE
INNM8,UMRB Mesonet,-110.70967,48.71885,FALSE,FALSE,TRUE,TRUE,TRUE
ISSM8,UMRB Mesonet,-110.71257,48.37537,FALSE,FALSE,TRUE,TRUE,TRUE
JGPM8,UMRB Mesonet,-109.76837,46.71887,FALSE,FALSE,TRUE,TRUE,TRUE
LOAM8,UMRB Mesonet,-110.49169,47.95366,FALSE,FALSE,TRUE,TRUE,TRUE
LTBM8,UMRB Mesonet,-109.6417,48.746,FALSE,FALSE,TRUE,TRUE,TRUE
MINM8,UMRB Mesonet,-112.63338,48.52725,FALSE,FALSE,TRUE,TRUE,TRUE
MTLM8,UMRB Mesonet,-111.03753,48.85226,FALSE,FALSE,TRUE,TRUE,TRUE
SBSM8,UMRB Mesonet,-112.02219,48.91505,FALSE,FALSE,TRUE,TRUE,TRUE
WETM8,UMRB Mesonet,-113.11848,48.77951,FALSE,FALSE,TRUE,TRUE,TRUE
WNFM8,UMRB Mesonet,-109.2019,47.7319,FALSE,FALSE,TRUE,TRUE,TRUE
GWMS2,UMRB Mesonet,-100.2423,45.0057,FALSE,FALSE,TRUE,TRUE,TRUE
HRMS2,UMRB Mesonet,-100.0909,45.8664,FALSE,FALSE,TRUE,TRUE,TRUE
SVYM8,UMRB Mesonet,-108.5907,48.417,FALSE,FALSE,TRUE,TRUE,TRUE
BDEM8,UMRB Mesonet,-105.25889,48.55058,FALSE,FALSE,TRUE,TRUE,TRUE
BNGM8,UMRB Mesonet,-108.49062,45.62588,FALSE,FALSE,TRUE,TRUE,TRUE
FTKM8,UMRB Mesonet,-104.77125,48.22337,FALSE,FALSE,TRUE,TRUE,TRUE
LLNM8,UMRB Mesonet,-106.24298,48.52674,FALSE,FALSE,TRUE,TRUE,TRUE
MBYM8,UMRB Mesonet,-107.65106,46.93618,FALSE,FALSE,TRUE,TRUE,TRUE
MEDM8,UMRB Mesonet,-104.73097,48.51998,FALSE,FALSE,TRUE,TRUE,TRUE
NUAM8,UMRB Mesonet,-106.32129,48.19608,FALSE,FALSE,TRUE,TRUE,TRUE
OHMM8,UMRB Mesonet,-106.38619,48.78782,FALSE,FALSE,TRUE,TRUE,TRUE
PARM8,UMRB Mesonet,-105.21641,48.17849,FALSE,FALSE,TRUE,TRUE,TRUE
SDLM8,UMRB Mesonet,-110.15675,45.74655,FALSE,FALSE,TRUE,TRUE,TRUE
TAMM8,UMRB Mesonet,-106.85091,48.36463,FALSE,FALSE,TRUE,TRUE,TRUE
VOTM8,UMRB Mesonet,-105.66213,48.54228,FALSE,FALSE,TRUE,TRUE,TRUE
WOFM8,UMRB Mesonet,-105.73792,48.17452,FALSE,FALSE,TRUE,TRUE,TRUE
ACMS2,UMRB Mesonet,-99.0929,43.4992,FALSE,FALSE,TRUE,TRUE,TRUE
AVMS2,UMRB Mesonet,-98.0002,43.0096,FALSE,FALSE,TRUE,TRUE,TRUE
CGMS2,UMRB Mesonet,-97.6605,44.1673,FALSE,FALSE,TRUE,TRUE,TRUE
GLOM8,UMRB Mesonet,-106.74891,48.1244,FALSE,FALSE,TRUE,TRUE,TRUE
AWMS2,UMRB Mesonet,-98.6834,45.4054,FALSE,FALSE,TRUE,TRUE,TRUE
BDMS2,UMRB Mesonet,-98.2781,45.1544,FALSE,FALSE,TRUE,TRUE,TRUE
RDFS2,UMRB Mesonet,-98.4066,44.8859,FALSE,FALSE,TRUE,TRUE,TRUE
1011,USCRN,-111.16,32.23,TRUE,FALSE,FALSE,TRUE,FALSE
